ProductID,Name,Description,Price,CategoryID,PackagingSize
1,Ethiopian Yirgacheffe,Bright and fruity single-origin coffee,16.99,1,12 oz
2,Colombian Supremo,Smooth and well-balanced single-origin coffee,14.99,1,12 oz
3,Kenyan AA,Bold and complex single-origin coffee,17.99,1,12 oz
4,Costa Rican Tarrazu,Crisp and clean single-origin coffee,15.99,1,12 oz
5,Sumatra Mandheling,Earthy and full-bodied single-origin coffee,16.99,1,12 oz
6,Guatemalan Antigua,Rich and chocolatey single-origin coffee,15.99,1,12 oz
7,Hawaiian Kona,Smooth and mild single-origin coffee,29.99,1,8 oz
8,Breakfast Blend,Light roast blend for morning enjoyment,13.99,2,12 oz
9,House Blend,Medium roast signature blend,14.99,2,12 oz
10,Dark Roast Blend,Bold and intense dark roast blend,14.99,2,12 oz
11,Mocha Java Blend,Classic blend of African and Indonesian beans,16.99,2,12 oz
12,Espresso Blend,Dark roast blend perfect for espresso,15.99,3,12 oz
13,Italian Roast Espresso,Extra dark roast for intense espresso,15.99,3,12 oz
14,Decaf Colombian,Decaffeinated medium roast Colombian coffee,14.99,4,12 oz
15,Decaf Espresso Blend,Decaffeinated dark roast espresso blend,15.99,4,12 oz
16,Organic Peru,Certified organic single-origin coffee,18.99,1,12 oz
17,French Roast,Extra dark roast with smoky flavor,14.99,2,12 oz
18,Cold Brew Blend,Coarse ground blend for cold brewing,16.99,2,1 lb
19,Precision Coffee Grinder,Adjustable burr grinder for consistent grounds,79.99,5,Single Unit
20,Coffee Maker Deluxe,Programmable coffee maker with thermal carafe,129.99,5,Single Unit
