CommentID,TicketID,EmployeeID,CommentText,CommentDate
1,1,37,Contacted customer to get more details about the bitter taste. Requested a sample of the affected batch.,2024-10-01 14:30:00
2,1,37,Received sample from customer. Forwarding to Quality Control for analysis.,2024-10-02 09:15:00
3,1,27,Quality Control analysis complete. Found slight over-roasting in the batch. Recommending adjustment to roasting time.,2024-10-03 11:30:00
4,2,38,Provided customer with our bulk order discount structure. Awaiting their decision.,2024-10-05 15:45:00
5,2,38,Customer placed a bulk order. Processed with applicable discounts.,2024-10-07 10:30:00
6,3,39,Scheduled a virtual training session for next week. Sent preparatory materials to the customer.,2024-10-11 13:00:00
7,3,39,Conducted virtual training session. Customer had additional questions about maintenance.,2024-10-18 14:30:00
8,3,39,Sent follow-up email with maintenance guide and offered additional support if needed.,2024-10-20 09:45:00
9,4,40,Checked with logistics team. Shipment delayed due to weather conditions.,2024-10-15 11:20:00
10,4,40,Updated customer about the delay. Offered expedited shipping once weather clears.,2024-10-16 10:00:00
11,4,40,Weather cleared. Shipment sent with expedited service at no extra cost to customer.,2024-10-18 14:15:00
12,5,41,Provided detailed information about our coffee sourcing and roasting process.,2024-10-18 16:30:00
13,5,41,Customer requested additional information about fair trade practices. Forwarding to our sourcing team.,2024-10-19 11:45:00
14,5,31,Sent comprehensive document about our fair trade practices and sustainability efforts.,2024-10-21 09:30:00
15,6,42,Sent digital product catalog and current pricing information to the customer.,2024-10-20 13:15:00
16,6,42,Customer asked about customization options. Discussing with our production team.,2024-10-21 10:00:00
17,7,37,Identified issue with payment processing module. Escalated to IT team.,2024-10-02 11:30:00
18,7,53,Fixed payment processing bug. System now operational.,2024-10-03 16:45:00
19,7,37,Confirmed with customer that online ordering is now working correctly.,2024-10-04 09:20:00
20,8,38,Discussed custom blend requirements with customer. Forwarding to our master roaster.,2024-10-09 14:00:00
21,8,31,Developed sample custom blend. Sending to customer for approval.,2024-10-15 11:30:00
22,8,38,Customer approved blend. Scheduling production for next week.,2024-10-18 15:45:00
23,9,39,Provided information about our current sustainable packaging options.,2024-10-19 10:30:00
24,9,39,Customer interested in compostable bags. Checking availability with our suppliers.,2024-10-20 14:15:00
25,9,39,Confirmed availability of compostable bags. Updating customer and adjusting their next order.,2024-10-21 11:00:00
26,10,40,Arranged for pickup of defective grinder. Sending replacement unit.,2024-10-06 13:45:00
27,10,40,Replacement grinder delivered. Confirming with customer that it's working correctly.,2024-10-08 10:30:00
28,10,40,Customer confirmed new grinder is functioning well. Closing ticket.,2024-10-09 15:20:00
29,11,41,Scheduled on-site barista training session for next week.,2024-10-13 09:45:00
30,11,41,Conducted training session. Customer requested follow-up on latte art techniques.,2024-10-18 16:30:00
31,11,41,Sent video tutorial on advanced latte art techniques. Offered another session if needed.,2024-10-20 11:15:00
32,12,42,Provided general guidelines for coffee storage. Recommending specific containers.,2024-10-21 14:00:00
33,13,37,Investigated order fulfillment error. Found mislabeling issue in warehouse.,2024-10-04 10:30:00
34,13,37,Corrected customer's order and expedited shipping. Offered discount on next purchase.,2024-10-05 13:45:00
35,13,37,Customer received correct order and accepted discount. Apologized for inconvenience.,2024-10-06 11:20:00
36,14,38,Scheduled maintenance visit for next week. Sent preparation checklist to customer.,2024-10-15 09:30:00
37,14,38,Performed on-site maintenance. Recommended replacement of worn parts.,2024-10-19 14:45:00
38,14,38,Customer approved parts replacement. Ordering parts and scheduling follow-up visit.,2024-10-21 10:15:00
39,15,39,Provided information about our upcoming winter blend and holiday specials.,2024-10-17 15:30:00
40,15,39,Customer interested in bulk order of winter blend. Calculating custom pricing.,2024-10-19 11:00:00
41,15,39,Sent custom quote for bulk winter blend order. Awaiting customer's decision.,2024-10-21 13:45:00
