TicketID,CustomerID,EmployeeID,Status,CreatedDate,LastUpdatedDate,Description,Summary
1,5,37,Closed,2024-10-01,2024-10-03,Customer reported bitter taste in recent coffee batch,Quality issue with coffee batch
2,12,38,Closed,2024-10-05,2024-10-07,Inquiry about bulk discounts for large orders,Bulk order discount inquiry
3,18,39,In Progress,2024-10-10,2024-10-21,Request for training on new espresso machine,Equipment training request
4,23,40,In Progress,2024-10-15,2024-10-21,Complaint about delayed shipment,Shipping delay issue
5,7,41,Open,2024-10-18,2024-10-21,Question about coffee origin and roasting process,Coffee origin inquiry
6,31,42,Open,2024-10-20,2024-10-21,Request for product catalog and pricing,Product catalog request
7,9,37,Closed,2024-10-02,2024-10-04,Issue with online ordering system,Online order system malfunction
8,15,38,In Progress,2024-10-08,2024-10-21,Request for custom blend creation,Custom coffee blend request
9,26,39,Open,2024-10-19,2024-10-21,Inquiry about sustainable packaging options,Sustainable packaging inquiry
10,3,40,Closed,2024-10-06,2024-10-09,Reported defective grinder,Defective equipment replacement
11,20,41,In Progress,2024-10-12,2024-10-21,Request for barista training session,Barista training request
12,33,42,Open,2024-10-21,2024-10-21,Question about coffee storage best practices,Coffee storage inquiry
13,1,37,Closed,2024-10-04,2024-10-06,Complaint about incorrect order fulfillment,Order fulfillment error
14,28,38,In Progress,2024-10-14,2024-10-21,Request for equipment maintenance,Equipment maintenance scheduling
15,11,39,Open,2024-10-17,2024-10-21,Inquiry about seasonal coffee offerings,Seasonal product inquiry
16,19,37,Open,2024-10-21,2024-10-21,Request for information on new coffee blends,New product information request
17,6,38,Open,2024-10-21,2024-10-21,URGENT: Issue with recent large order delivery,Critical order fulfillment problem
